SP500,FTSE,,
5.375081214,-2.207284282,,
-0.434198377,2.383655451,,
-2.778941037,0.201878344,,
-0.647527685,-0.785575442,,
0.315457675,-1.005099287,,
0.781397143,-0.45272411,,
1.250941446,0.891961069,,
-0.799262913,0.824082055,,
0.748774254,-1.342192444,,
-0.154509319,1.858253737,,
1.722130269,0.20149435,,
0.174563458,-0.009662458,,
-0.29253074,0.364914039,,
1.253540626,-0.277985508,,
0.321095083,0.796536013,,
-0.49398756,-0.140575103,,
-0.246501565,0.616739937,,
0.350553994,0.359994997,,
0.96643433,0.276647214,,
-0.454780857,-0.585815482,,
0.627223465,-0.728330696,,
-1.995603631,0.073551753,,
0.59075599,0.204381498,,
-0.160769472,0.385271042,,
-1.09985569,-1.083164197,,
-0.924678115,-0.313714391,,
-1.739022665,-0.675809337,,
1.412993438,1.242993022,,
-1.061884892,-0.206898285,,
-0.302757959,-0.843233773,,
0.848908962,0.350732938,,
-1.918059857,-1.784162839,,
-2.103639865,-1.793160638,,
-2.102509914,-0.128843356,,
-0.047880516,0.51271458,,
-0.720972478,-0.994416739,,
2.027117254,-0.455297404,,
-0.739230621,0.413227213,,
-1.588662175,-0.392947694,,
0.104516853,-0.157273951,,
-1.174666718,-0.849824953,,
0.713659971,1.233274607,,
1.093571044,1.351405862,,
0.813169421,-0.169804765,,
0.113655574,0.023323615,,
-2.81138638,-1.441239661,,
-5.165897372,-1.546378675,,
1.975340356,-1.83253015,,
-2.878812571,-1.671024023,,
0.770385074,1.819496963,,
-2.140234801,-2.94743263,,
1.632882122,-0.201540412,,
-2.668859658,1.700283853,,
-2.076643772,-1.896816646,,
-0.406107992,-4.162546483,,
2.272884488,1.632940708,,
1.32404685,3.175448287,,
2.869471516,2.680461592,,
-2.893265662,-2.012040967,,
-0.581312741,-0.457045715,,
1.144054704,0.807339911,,
-1.229575961,-0.270169553,,
-3.840790189,-2.804833016,,
-0.247469793,1.320163189,,
4.790783078,1.543387123,,
-1.916224243,-0.361747831,,
0.711071152,1.097234217,,
2.778050645,2.436826403,,
0.100309295,-0.257093946,,
1.624300234,-0.372143367,,
0.57867591,-0.095422338,,
4.404801224,2.216152425,,
1.50581876,-0.316278384,,
-0.830830422,0.139557863,,
-1.529519857,-0.144667333,,
-1.294048845,-0.529390901,,
1.561875201,-0.219407346,,
0.736749735,0.697689179,,
1.368099514,1.406150228,,
-0.562346026,0.260104356,,
1.549584434,-0.654064157,,
0.271159754,-0.402292593,,
-1.468135605,-2.372004954,,
1.682410003,1.796182734,,
-0.357379499,0.273886551,,
-0.649586168,0.123937843,,
-0.110466733,1.18574131,,
-0.923783413,-1.133156601,,
0.315569912,-3.561171315,,
-0.187056086,2.642913119,,
2.798345633,0.700955381,,
0.147348506,0.347796932,,
0.419803309,0.177672537,,
1.517497828,0.448695994,,
-0.375002285,0.587338702,,
-1.620911537,-1.334026858,,
0.466446038,0.313206557,,
-1.50916108,-0.442160016,,
-0.822158552,-0.440713,,
-1.534146429,-1.149161933,,
0.507296366,-0.013801432,,
0.521670525,0.232644409,,
0.746884439,0.804043385,,
1.156047115,1.120650152,,
-1.06593982,-0.355210116,,
0.535908595,0.789890856,,
-1.017933109,0.038659036,,
-0.820945535,-1.525713063,,
0.148361101,-0.968758916,,
-1.185284213,0.278729039,,
-1.654440812,-1.170008249,,
-0.444250561,-0.51413995,,
-0.345296482,-0.902187855,,
0.350083882,0.155038791,,
1.172368688,0.337434415,,
1.397025117,-1.026373528,,
-1.066368226,0.429819094,,
-0.649752321,-0.067092767,,
-0.394746741,-1.893509718,,
-0.453739345,0.935189015,,
1.408596733,0.542401942,,
-0.561692862,0.072689239,,
1.248463518,1.306448612,,
-0.220569346,-1.352538097,,
-1.576849207,-1.614048177,,
-2.514812233,-1.276674819,,
0.867423651,-0.188160558,,
-1.54842224,-0.018286885,,
-0.292811527,-1.399680303,,
2.513410386,1.64992017,,
0.702790832,1.005580869,,
-1.002052555,-0.360047792,,
1.011623765,-1.631846461,,
-0.616016732,-0.428345251,,
0.643130186,0.605056264,,
-0.237891975,-0.929379871,,
-1.803274671,0.337274698,,
-1.682339423,-1.586905708,,
1.607442809,-0.839952465,,
0.841792675,0.196936192,,
0.164609091,2.189212903,,
-0.204995835,0.803705777,,
0.526974347,1.501513295,,
0.232787859,0.32141595,,
0.425641504,0.675568985,,
-0.419227445,-0.66295012,,
-1.362564064,-0.382879283,,
0.567299239,0.188010758,,
-1.823510862,-1.095050576,,
0.049368089,-1.353036433,,
0.587252762,0.448750072,,
-0.150585183,0.071834452,,
-0.570017395,1.402357769,,
-0.661137577,-0.842348226,,
0.332767991,-1.323350864,,
-1.861760339,-0.888944439,,
0.860115792,0.285994868,,
-1.468153878,1.351559827,,
0.744338641,-0.39856128,,
-0.294709756,-0.225817295,,
2.297456924,1.387531002,,
-2.095276679,-0.682158404,,
-1.319832453,-0.31514083,,
-2.060862792,-1.579523644,,
0.524406904,0.230386796,,
0.11078032,0.645247749,,
0.146940637,-1.189288112,,
-2.338449793,-2.12359339,,
-2.076186779,-2.60852195,,
0.8431738,-0.724468727,,
-5.422039916,-2.714461006,,
-0.435648004,-1.030006234,,
-1.520614582,-2.654172354,,
-3.49688036,-3.552633646,,
-1.877724603,-2.740811787,,
4.246554858,3.983903644,,
0.948646718,1.067130948,,
-0.315216706,0.698758119,,
1.092233348,1.427130789,,
2.111806723,2.892515713,,
0.056258792,-2.431743315,,
1.15009143,0.97111359,,
2.023606666,1.019145952,,
-0.391247485,2.715867063,,
0.169425179,0.393944124,,
-0.822478272,-0.065549676,,
-0.559483203,-0.456062528,,
2.356483288,2.820248119,,
1.543651812,0.228726597,,
-0.464343416,-0.376319501,,
-0.062432553,-1.531441492,,
0.659810142,0.301481031,,
-1.692910533,2.348931639,,
-0.66203845,-1.693937436,,
0.505065293,-1.940122233,,
1.562307827,1.044804857,,
-0.618777441,2.394962331,,
-0.064415698,-0.496096916,,
1.232771702,-1.579873316,,
0.41637322,1.985428033,,
-2.611356603,-1.999190628,,
-1.507676046,-1.631435163,,
-0.115650455,0.718890314,,
2.504960164,0.623091949,,
0.312994899,1.143071256,,
1.187584408,1.539890758,,
1.683358793,0.095939834,,
-0.462633658,0.042184385,,
0.518144883,1.177784616,,
0.237309679,-0.644348047,,
-0.322323781,-1.886412576,,
1.875963093,2.511812616,,
0.360483301,-0.692162721,,
0.217022805,-0.047714933,,
-0.402203324,1.002933605,,
1.183305725,0.884378706,,
-0.850566262,-0.738954353,,
-0.623944764,0.284570274,,
1.171567193,-0.388423228,,
0.499366323,0.175542954,,
-0.91149426,-0.690734638,,
-2.03640292,-1.161293515,,
1.092606643,0.063378052,,
-0.082045677,-0.09412127,,
-1.055482269,-0.752303851,,
1.197310509,0.915519034,,
2.040076499,2.302483751,,
-0.15571763,0.67829808,,
-0.839683534,-1.976649997,,
-1.797119174,-1.525432222,,
-0.330875052,-0.467823545,,
0.181082925,-0.793716718,,
-1.69773924,-0.884761875,,
0.311466769,-0.274272807,,
1.144755629,1.476888366,,
0.758811229,0.28773082,,
0.911191357,-0.593866442,,
-0.753613906,-0.792098879,,
0.360465407,1.543089782,,
-0.208262281,0.352147105,,
0.965944623,0.689087091,,
0.148822134,0.558553807,,
-1.270392841,-0.478021522,,
0.801190724,0.017248484,,
1.038764186,1.907603565,,
0.583043185,0.093962009,,
-0.704098398,-0.568879037,,
-0.321844394,-0.819427954,,
-0.487261141,-0.417983412,,
0.159297768,-0.725586721,,
-1.082784933,0.152079573,,
-0.573362599,-1.650525731,,
0.684564014,1.021459341,,
-1.700275475,-0.746098122,,
1.148185739,0.210403351,,
-1.104716171,-0.226006409,,
-0.804633139,0.435967993,,
0.524357554,0.607951688,,
0.254196112,1.008295703,,
0.008693913,-0.769227184,,
-0.039998261,0.58752545,,
-3.114570019,-1.780829293,,
1.265997687,-0.823822989,,
1.601271614,1.472608311,,
-0.724514037,0.480951239,,
-2.836008304,-0.432558365,,
