date,ibm
19540831,-0.048576
19540930,0.035336
19541029,0.06314
19541130,0.186196
19541231,-0.017639
19550131,0.026243
19550228,0.004038
19550331,0.067204
19550429,0.078086
19550531,-0.021028
19550630,-0.007177
19550729,0.015663
19550831,-0.039146
19550930,-0.017327
19551031,-0.042821
19551130,0.047368
19551230,0.040491
19560131,-0.032258
19560229,0.051282
19560329,0.210269
19560430,0.070707
19560531,0.01533
19560629,0.139697
19560731,0.052094
19560831,-0.057282
19560928,-0.065015
19561031,0.030905
19561130,0.047109
19561231,0.106557
19570131,-0.040741
19570228,-0.016409
19570329,0.021632
19570430,0.101059
19570531,0.059732
19570628,0.123939
19570731,0.016616
19570830,-0.059138
19570930,-0.049051
19571031,-0.006656
19571129,0.040536
19571231,0.008468
19580131,0.054098
19580228,0.023795
19580331,0.053272
19580430,0.014451
19580529,-0.004558
19580630,0.058065
19580731,0.001355
19580829,0.008525
19580930,0.096774
19581031,0.066176
19581128,0.02908
19581231,0.22679
19590130,-0.064953
19590227,0.058771
19590331,0.026465
19590430,0.07919
19590529,0.204352
19590630,-0.046809
19590731,-0.044643
19590831,-0.007009
19590930,-0.030624
19591030,-0.006075
19591130,0.067482
19591231,0.005161
19600129,-0.05077
19600229,0.006611
19600331,0.050239
19600429,0.030752
19600531,0.11547
19600630,0.035714
19600729,0.004789
19600831,0.023356
19600930,-0.037313
19601031,-0.00969
19601130,0.091487
19601230,0.064632
19610131,0.072513
19610228,0.0625
19610330,0.02963
19610428,0.027338
19610531,0.027521
19610630,-0.026612
19610731,0.024185
19610831,0.067967
19610929,0.035611
19611031,0.092007
19611130,-0.011745
19611229,-0.001724
19620131,-0.063903
19620228,-0.007841
19620330,-0.007914
19620430,-0.147818
19620531,-0.133811
19620629,-0.135669
19620731,0.140752
19620831,0.02584
19620928,-0.107886
19621031,-0.021216
19621130,0.153902
19621231,-0.021329999999999998
19630131,0.086538
19630228,-0.054277
19630329,0.053158
19630430,0.101544
19630531,0.031267
19630628,-0.085909
19630731,-0.004011
19630830,0.025892
19630930,0.016301
19631031,0.09292
19631129,-0.015182
19631231,0.044822
19640131,0.069034
19640228,0.052122
19640331,0.044376
19640430,-0.040387
19640528,0.05491
19640630,-0.00625
19640731,-0.031447
19640831,-0.043831
19640930,-0.009081
19641030,-0.037801
19641130,-0.014881
19641231,-0.007273
19650129,0.095238
19650226,0.019509
19650331,-0.003291
19650430,0.067694
19650528,-0.01134
19650630,-0.041841
19650730,0.045852
19650831,0.044885
19650930,0.027054
19651029,0.04
19651130,-0.012195
19651231,-0.049524
19660131,-0.006012
19660228,0.041331
19660331,0.001942
19660429,0.080426
19660531,-0.021031
19660630,-0.02968
19660729,-0.027817
19660831,-0.0562
19660930,-0.00936
19661031,0.045669
19661130,0.135843
19661230,-0.011968
19670131,0.07537
19670228,0.079099
19670331,0.048837
19670428,0.100887
19670531,-0.035234
19670630,0.067024
19670731,0.020603
19670831,-0.013589
19670929,0.097049
19671031,0.082535
19671130,0.033024
19671229,0.02451
19680131,-0.051834
19680229,-0.022204
19680329,0.056034
19680430,0.106122
19680531,0.055793
19680628,-0.009104
19680730,-0.042403
19680830,-0.009151
19680930,0
19681031,-0.081642
19681129,0.087134
19681231,-0.05618
19690131,-0.059524
19690228,-0.007004
19690328,0.070303
19690430,0.044586
19690529,-0.025
19690630,0.058777
19690731,-0.03923
19690829,0.066256
19690930,7.25e-4
19691031,0.044171
19691128,-0.006935
19691231,0.021008
19700130,-0.080247
19700227,0.018494
19700331,-0.005143
19700430,-0.119645
19700529,-0.063087
19700630,-0.100719
19700731,0.0138
19700831,0.0555
19700930,0.095775
19701030,0.011825
19701130,0.045068
19701231,0.034174
19710129,0.02439
19710226,0.037788
19710331,0.062407
19710430,6.99e-4
19710528,-0.08232
19710630,-0.030581
19710730,-0.08123
19710831,0.04824
19710930,-8.22e-4
19711029,-0.0107
19711130,0.020965
19711231,0.101473
19720131,0.093611
19720229,0.005027
19720330,0.037313
19720428,0.00981
19720531,0.033938
19720630,-0.014456
19720731,0.022321
19720831,0.022707
19720929,-0.004896
19721031,-0.051661
19721130,0.017769
19721229,0.028133
19730131,0.083333
19730228,-0.00597
19730330,0
19730430,-0.054461
19730531,-0.032261
19730629,0.007149
19730731,-0.007886
19730831,-0.039364
19730928,-0.142857
19731031,0.08624
19731130,-0.050419
19731231,-0.068868
19740131,-0.006079
